Catch Me If You Can,8.0,433340,2002,"A true story about Frank Abagnale Jr., who, before his 19th birthday, successfully conned millions of dollars' worth of checks as a Pan Am pilot, doctor, and legal prosecutor.",76,"Biography, Crime, Drama",Steven Spielberg
Saving Private Ryan,8.6,764420,1998,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",90,"Action, Drama, War",Steven Spielberg
Sherlock Holmes,7.6,426781,2009,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,57,"Action, Adventure, Crime",Guy Ritchie
Batman: The Motion Picture Anthology 1989-1997 - Beyond Batman: Dressed to Thrill - The Costumes of 'Batman & Robin',6.0,22,2005,N/A,N/A,"Documentary, Short",Constantine Nasr
Blood Diamond,8.0,359145,2006,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",64,"Adventure, Drama, Thriller",Edward Zwick
Before Sunset,8.1,147453,2004,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",90,"Drama, Romance",Richard Linklater
Before Midnight,8.0,80921,2013,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,94,"Drama, Romance",Richard Linklater
Batman: Mask of the Phantasm,7.9,25525,1993,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,N/A,"Animation, Action, Adventure","Eric Radomski, Bruce W. Timm, Kevin Altieri, Boyd Kirkland, Frank Paur, Dan Riba"
I Am Legend,7.2,471316,2007,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",65,"Drama, Sci-Fi, Thriller",Francis Lawrence
Life of Pi,8.0,385025,2012,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",79,"Adventure, Drama, Fantasy",Ang Lee
The Curious Case of Benjamin Button,7.8,415077,2008,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",70,"Drama, Fantasy, Romance",David Fincher
The Bourne Ultimatum,8.1,430949,2007,Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.,85,"Action, Thriller",Paul Greengrass
The Girl with the Dragon Tattoo,7.9,301379,2011,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",71,"Crime, Drama, Mystery",David Fincher
The Pursuit of Happyness,7.9,304408,2006,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional endeavor.,64,"Biography, Drama",Gabriele Muccino
The Terminal,7.3,272102,2004,"An eastern immigrant finds himself stranded in JFK airport, and must take up temporary residence there.",55,"Comedy, Drama",Steven Spielberg
Schindler's List,8.9,758930,1993,"In Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",93,"Biography, Drama, History",Steven Spielberg
Road to Singapore,7.1,2803,1940,Bing Crosby and Bob Hope star in the first of the 'Road to' movies as two playboys trying to forget previous romances in Singapore - until they meet Dorothy Lamour.,N/A,"Comedy, Musical, Romance",Victor Schertzinger
October Sky,7.8,58977,1999,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",71,"Biography, Drama, Family",Joe Johnston
The Shawshank Redemption,9.3,1501907,1994,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",80,"Crime, Drama",Frank Darabont
Seven Pounds,7.7,213899,2008,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,36,Drama,Gabriele Muccino
The Social Network,7.8,425807,2010,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the cofounder who was later squeezed out of the business.",95,"Biography, Drama",David Fincher
Sherlock Holmes,7.6,426781,2009,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,57,"Action, Adventure, Crime",Guy Ritchie
